# f (Hz), Re{G(jw)}, Im{G(jw)}
42.40000000,0.00256315,-0.03274122
42.50000000,0.00234833,-0.03255510
42.60000000,0.00240118,-0.03224105
42.70000000,0.00250437,-0.03199744
42.80000000,0.00271315,-0.03193244
42.90000000,0.00282272,-0.03194739
43.00000000,0.00281035,-0.03206027
43.10000000,0.00269608,-0.03211146
43.20000000,0.00249946,-0.03207114
43.30000000,0.00228034,-0.03189263
43.40000000,0.00226186,-0.03158612
43.50000000,0.00239558,-0.03136251
43.60000000,0.00253294,-0.03124507
43.70000000,0.00268220,-0.03125830
43.80000000,0.00269753,-0.03132168
43.90000000,0.00259441,-0.03140838
44.00000000,0.00242384,-0.03145312
44.10000000,0.00224712,-0.03125622
44.20000000,0.00214491,-0.03101142
44.30000000,0.00224976,-0.03075639
44.40000000,0.00236401,-0.03058456
44.50000000,0.00254444,-0.03053147
44.60000000,0.00261258,-0.03061654
44.70000000,0.00257225,-0.03070291
44.80000000,0.00239463,-0.03071678
44.90000000,0.00221125,-0.03069563
45.00000000,0.00205051,-0.03048580
45.10000000,0.00203898,-0.03019129
45.20000000,0.00214525,-0.02999330
45.30000000,0.00233086,-0.02987457
45.40000000,0.00242119,-0.02988335
45.50000000,0.00250812,-0.02997612
45.60000000,0.00243878,-0.03004586
45.70000000,0.00224070,-0.03007392
45.80000000,0.00211225,-0.02996930
45.90000000,0.00196626,-0.02974376
46.00000000,0.00199652,-0.02951806
46.10000000,0.00209242,-0.02927162
46.20000000,0.00224706,-0.02922198
46.30000000,0.00234036,-0.02927842
46.40000000,0.00241020,-0.02932504
46.50000000,0.00234585,-0.02942521
46.60000000,0.00217656,-0.02945029
46.70000000,0.00199254,-0.02927373
46.80000000,0.00188904,-0.02913285
46.90000000,0.00185331,-0.02884986
47.00000000,0.00196812,-0.02863649
47.10000000,0.00215409,-0.02860061
47.20000000,0.00223632,-0.02861186
47.30000000,0.00232337,-0.02866450
47.40000000,0.00223592,-0.02879207
47.50000000,0.00209948,-0.02878923
47.60000000,0.00192364,-0.02872021
47.70000000,0.00177896,-0.02851209
47.80000000,0.00179026,-0.02826001
47.90000000,0.00187907,-0.02803479
48.00000000,0.00201184,-0.02793153
48.10000000,0.00211216,-0.02792803
48.20000000,0.00224626,-0.02802718
48.30000000,0.00218836,-0.02812777
48.40000000,0.00205741,-0.02821386
48.50000000,0.00187861,-0.02813116
48.60000000,0.00179272,-0.02800135
48.70000000,0.00171326,-0.02781244
48.80000000,0.00173386,-0.02751947
48.90000000,0.00187012,-0.02739422
49.00000000,0.00195587,-0.02733324
49.10000000,0.00207882,-0.02737378
49.20000000,0.00218504,-0.02744247
49.30000000,0.00203888,-0.02753953
49.40000000,0.00193894,-0.02755961
49.50000000,0.00176799,-0.02744711
49.60000000,0.00162535,-0.02730899
49.70000000,0.00158569,-0.02705494
49.80000000,0.00171952,-0.02693259
49.90000000,0.00186804,-0.02678294
50.00000000,0.00193545,-0.02676838
50.10000000,0.00202900,-0.02679455
50.20000000,0.00207428,-0.02688249
50.30000000,0.00193789,-0.02694905
50.40000000,0.00184192,-0.02692187
50.50000000,0.00169929,-0.02687845
50.60000000,0.00157875,-0.02667822
50.70000000,0.00152159,-0.02654504
50.80000000,0.00153912,-0.02629079
50.90000000,0.00177339,-0.02621331
51.00000000,0.00184782,-0.02615328
51.10000000,0.00193666,-0.02618056
51.20000000,0.00195411,-0.02623954
51.30000000,0.00197658,-0.02635107
51.40000000,0.00181114,-0.02638524
51.50000000,0.00161312,-0.02634250
51.60000000,0.00151439,-0.02611495
51.70000000,0.00145863,-0.02595544
51.80000000,0.00147715,-0.02579598
51.90000000,0.00157503,-0.02560232
52.00000000,0.00172590,-0.02557482
52.10000000,0.00179695,-0.02555134
52.20000000,0.00191029,-0.02559243
52.30000000,0.00186155,-0.02573857
52.40000000,0.00177939,-0.02576572
52.50000000,0.00166505,-0.02572932
52.60000000,0.00147495,-0.02563519
52.70000000,0.00145051,-0.02553092
52.80000000,0.00138653,-0.02536624
52.90000000,0.00147252,-0.02510991
53.00000000,0.00153586,-0.02497901
53.10000000,0.00166072,-0.02499508
53.20000000,0.00177689,-0.02496218
53.30000000,0.00181999,-0.02510531
53.40000000,0.00178324,-0.02514383
53.50000000,0.00166391,-0.02516409
53.60000000,0.00160087,-0.02519297
53.70000000,0.00144028,-0.02514535
53.80000000,0.00130707,-0.02496853
53.90000000,0.00134748,-0.02474061
54.00000000,0.00139064,-0.02458228
54.10000000,0.00148719,-0.02449039
54.20000000,0.00156112,-0.02443208
54.30000000,0.00168579,-0.02445604
54.40000000,0.00168288,-0.02451590
54.50000000,0.00172918,-0.02459477
54.60000000,0.00162385,-0.02460007
54.70000000,0.00153235,-0.02465356
54.80000000,0.00140854,-0.02455800
54.90000000,0.00131262,-0.02447788
55.00000000,0.00126589,-0.02430108
55.10000000,0.00130943,-0.02406887
